# Barnet recycling collection data from:
# http://www.ectrecycling.co.uk/page/421
# http://www.ectrecycling.co.uk/page/422
# http://www.ectrecycling.co.uk/page/423
# collected 4-Jul-2011
# Note: must contain the following title line:
street,postcode,type,days
Abbotts Road,EN5 5DP,R,Tuesday
Abercorn Close,NW7 1JG,R,Thursday
Abercorn Road,NW7 1JG,R,Thursday
Aberdare Gardens,NW7 1DS,R,Thursday
Abingdon Road,N3 2RG,R,Thursday
Acklington Drive,NW9 5WL,R,Monday
Addington Drive,N12 0PH,R,Thursday
Addison Way,NW11 6AJ,R,Friday
Agnesfield Close,N12 0TF,R,Thursday
Aitken Road,EN5 3AD,R,Tuesday
Ajax Avenue,NW9 5EX,R,Monday
Alan Drive,EN5 2PN,R,Tuesday
Alba Gardens,NW11 9NR,R,Friday
Albemarle Road,EN4 8EQ,R,Wednesday
Alberon Gardens,NW11 0AE,R,Friday
Albert Road,EN4 9SH,R,Friday
Albert Road,NW7 4RX,R,Thursday
Albion Avenue,N10 1AE,R,Wednesday
Alders Close,HA8 9QQ,R,Monday
Alders Road,HA8 9QG,R,Monday
Alderton Crescent,NW4 3XT,R,Monday
Alderton Way,NW4 3XS,R,Monday
Aldridge Avenue,HA8 8TA,R,Monday
Alexander Close,EN4 9PW,R,Tuesday
Alexandra Grove,N12 8HE,R,Thursday
Alexandra Road,NW4 2RY,R,Friday
Alexandra Road,N10 2ER,R,Wednesday
Algernon Road,NW4 3SY,R,Monday
Allandale Avenue,N3 3PJ,R,Thursday
Allington Road,NW4 3DE,R,Monday
Alma Road,N10 2NE,R,Wednesday
Alston Road,EN5 4EL,R,Tuesday
Althorp Close,EN5 2AY,R,Tuesday
Alverstone Avenue,EN4 8DP,R,Wednesday
Alwyn Gardens,NW4 4XP,R,Monday
Alyth Gardens,NW11 7EN,R,Friday
Amber Grove,NW2 1XF,R,Friday
Amberden Avenue,N3 3BJ,R,Friday
Ambrose Avenue,NW11 9AP,R,Friday
Angus Gardens,NW9 5LG,R,Monday
Annesley Avenue,NW9 5DY,R,Monday
Anthony Close,NW7 4QS,R,Thursday
Appledore Way, NW7,R,Friday
Appletree Gardens,,R,Tuesday
Applewood Close,N20 9JW,R,Wednesday
Aprey Gardens,NW4 2RG,R,Friday
Arden Road,N3 3AB,R,Thursday
Arden Court Gardens,N 2,R,Friday
Argyle Road,N12 7HS,R,Thursday
Argyle Road,EN5 4DX,R,Tuesday
Arkley Drive,EN5 3LN,R,Tuesday
Arkley Lane,EN5 3JW,R,Tuesday
Arkley Park,CaravanPa rk),R,Monday
Arkley View,EN5 3JP,R,Tuesday
Arlington,N12 7JR,R,Wednesday
Arlington,N12 7JR,R,Wednesday
Arlington Road,N14 5AR,R,Wednesday
Armitage Road,NW11 8QB,R,Friday
Armstrong Crescent,EN4 9BT,R,Tuesday
Arncliffe Close,N11 3FD,R,Wednesday
Artesian Grove,EN5 5HU,R,Tuesday
Arundel Gardens,HA8 0RL,R,Monday
Arundel Road,EN4 9DP,R,Tuesday
Ash Close,HA8 8BY,R,Monday
Ash Grove,NW2 3LJ,R,Friday
Ashbourne Avenue,NW11 0DP,R,Friday
Ashbourne Avenue,N20 0AL,R,Wednesday
Ashbourne Grove,NW7 3RS,R,Monday
Ashbourne Way,NW11 0DN,R,Friday
Ashburnham Close,N2 0NH,R,Friday
Ashcombe Gardens,HA8 8HR,R,Monday
Asher Loftus Way,N11 3ND,R,Wednesday
Ashfield Road,N14 7JY,R,Wednesday
Ashley Close,NW4 1PH,R,Thursday
Ashley Lane,NW4 1HD,R,Friday
ASHLEY LANE (NORTH),,R,Thursday
Ashley Walk,NW7 1DU,R,Thursday
Ashurst Road,EN4 9LE,R,Tuesday
Ashurst Road,N12 9AA,R,Wednesday
Asmuns Hill,NW11 6ES,R,Friday
Asmuns Place,NW11 7XE,R,Friday
Athenaeum Road,N20 9AA,R,Tuesday
Attfield Close,N20 0LG,R,Wednesday
Audley Close,N10 2NZ,R,Wednesday
Audley Road,NW4 3EG,R,Monday
Austell Gardens,NW7 4NS,R,Thursday
Avenue Road,N12 8PY,R,Wednesday
Avion Crescent,NW9 5NZ,R,Monday
Avondale Avenue,N12 8EJ,R,Wednesday
Avondale Road,N3 2EP,R,Thursday
Aylesham Close,NW7 2SF,R,Thursday
Babington Road,NW4 4LD,R,Friday
Back Lane,HA8 0HS,R,Monday
Badgers Croft,N20 8AH,R,Wednesday
Bakers Hill,EN5 5QL,R,Tuesday
Balfour Grove,N20 0SJ,R,Wednesday
Ballards Lane,N3 1LP,R,Thursday
Balmoral Avenue,N11 3QA,R,Wednesday
Bampton Drive,NW7 2AY,R,Thursday
Bancroft Avenue,N2 0EY,R,Friday
Banstock Road,HA8 9JE,R,Monday
Barfield Avenue,N20 0BX,R,Wednesday
Barford Close,NW4 4XG,R,Monday
Baring Road,EN4 9AN,R,Tuesday
Barnet Gate,EN5 3HY,R,Tuesday
Barnet Hill,EN5 5RH,R,Tuesday
Barnet Lane,EN5 2DH,R,Tuesday
Barnet Road,EN5 3EP,R,Tuesday
Barnet Way,NW7 3AL,R,Monday
Barnet Gate Lane,EN5 2AA,R,Tuesday
Barnfield Road,HA8 0AY,R,Monday
Baron Close,N11 3PS,R,Wednesday
Barons Gate,EN4 8SU,R,Tuesday
Baronsmere Road,N2 9QB,R,Thursday
Barton Close,NW4 4QD,R,Monday
Basing Hill,NW11 8TE,R,Friday
Basing Way,N3 3BN,R,Thursday
Bath Place,EN5 5XE,R,Tuesday
Bawtry Road,N20 0SR,R,Wednesday
Baxendale,N20 0EG,R,Wednesday
Beaconsfield Road,N11 3AA,R,Wednesday
Beaufort Drive,NW11 6BU,R,Friday
Beaufort Gardens,NW4 3QN,R,Friday
Beaufort Park,NW11 6BS,R,Friday
Beaulieu Close,NW9 6SB,R,Monday
Beaumont Gardens,NW3 7TF,R,Friday
Beaumont Place,,R,Tuesday
Bedford Avenue,EN5 2EL,R,Tuesday
Bedford Close,N10 1BB,R,Wednesday
Bedford Road,NW7 4LU,R,Monday
Bedford Road,N2 9DB,R,Thursday
Beech Avenue,N20 9JT,R,Wednesday
Beech Walk,NW7 3PH,R,Monday
Beechcroft Avenue,NW11 8BJ,R,Friday
Beechvale Close,N12 9AW,R,Wednesday
Beechwood Avenue,N3 3AU,R,Friday
Beechwood Close,NW7 3LS,R,Monday
Beechworth Close,NW3 7UT,R,Friday
Beeston Road,EN4 8BX,R,Tuesday
Belgrave Close,,R,Monday
Belgrave Close,NW7 3QG,R,Monday
Belgravia Close,EN5 5XA,R,Tuesday
Bell Lane,NW4 2AD,R,Friday
Bellamy Close,HA8 8YU,R,Monday
Belle Vue Estate,NW4 2BN,R,Friday
Bellevue Mews,N11 3HF,R,Wednesday
Bellvue Road,N11 3ET,R,Wednesday
Bells Hill,EN5 2SG,R,Tuesday
Belmont Avenue,EN4 9JP,R,Tuesday
Belmont Close,N20 8QT,R,Wednesday
Benedict Way,N2 0UR,R,Friday
Benfleet Way, N11,R,Wednesday
Benningholm Road,HA8 9HF,R,Monday
Bensley Close,N11 3JS,R,Wednesday
Bentley Drive,NW2 2TD,R,Friday
Berberry Close,HA8 9GD,R,Monday
Beresford Avenue,N20 0AD,R,Wednesday
Beresford Road,N2 8AT,R,Thursday
Berkeley Crescent,EN4 8BP,R,Tuesday
Bernhart Close,HA8 0SH,R,Monday
Bertram Road,NW4 3PN,R,Monday
Besant Road,NW2 2SL,R,Friday
Bethune Avenue,N11 3LD,R,Wednesday
Beulah Close,HA8 8SP,R,Monday
Bevan Road,EN4 9DY,R,Tuesday
Beverley Gardens,NW11 9DG,R,Friday
Bibsworth Road,N3 3RE,R,Thursday
Bigwood Road,NW11 7BB,R,Friday
Birkbeck Road,NW7 4AA,R,Thursday
Birkbeck Road,N12 8DZ,R,Thursday
Birley Road,N20 0EZ,R,Wednesday
Bishops Close,EN5 2QH,R,Tuesday
Bishops Grove,N2 0BP,R,Friday
Bittacy Close,NW7 1RU,R,Thursday
Bittacy Hill,NW7 1BA,R,Thursday
Bittacy Rise,NW7 2HL,R,Thursday
Bittacy Road,NW7 1BP,R,Thursday
Bittacy Park Avenue,NW7 2HA,R,Thursday
Blackdown Close,,R,Thursday
Blackwell Gardens,HA8 8QA,R,Monday
Blakeney Close,N20 9LH,R,Wednesday
Blandford Close,N2 0DH,R,Friday
Blenheim Road,EN5 4NE,R,Tuesday
Blessbury Road,HA8 0SU,R,Monday
Blundell Road,HA8 0HY,R,Monday
Boardman Close,EN5 2NA,R,Tuesday
Bohun Grove,EN4 8UA,R,Tuesday
Boleyn Way,EN5 5JS,R,Tuesday
Boltmore Close,NW4 1EX,R,Friday
Bonville Gardens,NW4 4XR,R,Monday
Bookbinders Cottages,,R,Wednesday
Booth Road,NW9 5BW,R,Monday
Bose Close,N3 1TQ,R,Thursday
Boston Road,HA8 0TH,R,Monday
Bosworth Road,EN5 5LP,R,Tuesday
Botany Close,EN4 9RX,R,Tuesday
Botany Close,EN4 9SX,R,Tuesday
Botham Close,,R,Monday
Bourne Avenue,EN4 8BU,R,Tuesday
Bovingdon Lane,NW9 5WJ,R,Monday
Bow Lane,N12 0JR,R,Thursday
Boxworth Close,N12 9HJ,R,Wednesday
Boyne Avenue,NW4 2JL,R,Friday
Boyseld Court,,R,Monday
Brabourne Heights,,R,Thursday
Brackenbury Road,N2 0SS,R,Friday
Bradman Row,,R,Monday
Bradshaw Drive, NW7,R,Friday
Braemar Gardens,NW9 5LA,R,Monday
Bramber Road,N12 9ND,R,Wednesday
Brampton Grove,NW4 4AE,R,Friday
Brancaster Drive,NW7 2SH,R,Thursday
Brearley Close,,R,Monday
Brendon Grove,N2 8JE,R,Thursday
Brent Green,NW4 2HA,R,Monday
Brent Place,EN5 2DP,R,Tuesday
Brent Street,NW4 1BD,R,Monday
Brent Terrace,NW2 1AF,R,Friday
Brent Way,N3 1AJ,R,Thursday
Brent Park Road,NW4 3HN,R,Monday
Brent View Road,NW9 7EF,R,Monday
Brentfield Gardens,NW2 1JP,R,Friday
Brentmead Place,,R,Friday
Brett Road,EN5 3BL,R,Tuesday
Briar Close,N2 0RS,R,Friday
Briar Walk,HA8 0TU,R,Monday
Briarfield Avenue,N3 2LG,R,Thursday
Brickfield Lane,,R,Tuesday
Bridge Lane,NW11 0EA,R,Friday
Brighton Road,N2 8JU,R,Thursday
Brim Hill,N2 0EY,R,Friday
Brinsdale Road,NW4 1TB,R,Friday
Britannia Road,N12 9RS,R,Wednesday
Broadfields Avenue,HA8 8PF,R,Monday
Broadhurst Avenue,HA8 8TL,R,Monday
Brockenhurst Gardens,NW7 2JX,R,Thursday
Brockley Avenue,HA7 4LX,R,Monday
Brockley Hill,HA7 4LS,R,Monday
Brompton Grove,,R,Thursday
Brook Avenue,HA8 9UY,R,Monday
Brook Close,NW7 1JR,R,Thursday
Brook Meadow,N12 7DB,R,Wednesday
Brook Place,EN5 2DL,R,Tuesday
Brook Walk,HA8 9EZ,R,Monday
Brookfield Avenue,NW7 2BX,R,Thursday
Brookfield Close,NW7 2DA,R,Thursday
Brookfield Crescent,NW7 2DE,R,Thursday
Brookhill Close,EN4 8SH,R,Tuesday
Brookhill Road,EN4 8SD,R,Tuesday
Brookland Close,NW11 6DJ,R,Friday
Brookland Garth,NW11 6DR,R,Friday
Brookland Hill,NW11 6DU,R,Friday
Brookland Rise,NW11 6DH,R,Friday
Brookside,EN4 8TS,R,Tuesday
Brookside Close,EN5 2PT,R,Tuesday
Brookside Road,NW11 9ND,R,Friday
Brookside South,EN4 8LH,R,Wednesday
Broughton Avenue,N3 3EN,R,Thursday
Brownlow Road,N3 1NA,R,Thursday
Brownswell Road,N2 8LA,R,Thursday
Bruce Gardens,N20 0SW,R,Wednesday
Brunner Close,NW11 6NP,R,Friday
Brunswick Avenue,N11 1HP,R,Wednesday
Brunswick Court,,R,Tuesday
Brunswick Crescent,N11 1EE,R,Wednesday
Brunswick Grove,N11 1ED,R,Wednesday
Brunswick Park Gardens,N11 1EF,R,Wednesday
Brunswick Park Road,N11 1EA,R,Wednesday
Bryant Close,EN5 2TG,R,Tuesday
Buckingham Avenue,N20 9BU,R,Tuesday
Budd Close,N12 8SQ,R,Wednesday
Bullescroft Road,HA8 8RN,R,Monday
Bulwer Gardens,EN5 5JF,R,Tuesday
Bulwer Road,EN5 5DJ,R,Tuesday
Bunkers Hill,NW11 6XA,R,Friday
Bunns Lane,NW7 2AL,R,Thursday
Burleigh Gardens,N14 5AD,R,Wednesday
Burlington Rise,EN4 8NH,R,Wednesday
Burnbrae Close,N12 8PH,R,Thursday
Burnham Close,NW7 2SE,R,Thursday
Burnside Close,EN5 5LN,R,Tuesday
Burnt Oak Broadway,HA8 0AS,R,Monday
Burnt Oak Fields,HA8 0BZ,R,Monday
Burrell Close,HA8 8FH,R,Monday
Burroughs Gardens,NW4 4AU,R,Friday
Burroughs Parade,NW4 4BD,R,Friday
Burtonhole Close,,R,Thursday
Burtonhole Lane,NW7 1AG,R,Thursday
Bushfield Close,HA8 8XT,R,Monday
Bushfield Crescent,HA8 8XG,R,Monday
Buxted Road,N12 9AS,R,Wednesday
Byng Road,EN5 4NP,R,Tuesday
Byre Road,,R,Wednesday
Byron Drive,N2 0BD,R,Friday
Byron Road,NW7 4AD,R,Thursday
Caddington Close,EN4 9QH,R,Tuesday
Caddington Road,NW2 1RP,R,Friday
Cadogan Gardens,N3 2HN,R,Thursday
Calton Road,EN5 1BY,R,Tuesday
Calvert Road,EN5 4HH,R,Tuesday
Cambrain Green,NW9 7RH,R,Monday
Cambridge Gardens,N10 2LL,R,Wednesday
Cambstone Close,N11 1JQ,R,Wednesday
Cameron Close,,R,Wednesday
Camlet Way,EN4 0NH,R,Tuesday
Campbell Croft,HA8 8DS,R,Monday
Campion Terrace,NW2 6QN,R,Friday
Campion Way,HA8 9GE,R,Monday
Campus Way,NW4 4JF,R,Monday
Canberra Close,NW4 4SZ,R,Monday
Caney Mews,NW2 1BH,R,Friday
Cannon Close,,R,Wednesday
CANON'S CLOSE,N2 0BH,R,Friday
Capel Road,EN4 8JD,R,Wednesday
Cardrew Avenue,N12 9LD,R,Wednesday
Cardrew Close,N12 9LE,R,Wednesday
Carlton Close,NW3 7UA,R,Friday
Carlton Close,HA8 7PY,R,Monday
Carlton Road,N11 3EX,R,Wednesday
Carlyle Close,N2 0QU,R,Friday
Carnarvon Road,EN5 4LU,R,Tuesday
Carpenters Close,EN5 1EW,R,Tuesday
Carrington Close,EN5 3NA,R,Tuesday
Carson Road,EN4 9EN,R,Tuesday
Castle Mews,N12 9EH,R,Wednesday
Castle Road,N12 9ED,R,Wednesday
Castlewood Road,EN4 9DQ,R,Tuesday
Cat Hill,EN4 8HG,R,Tuesday
Catterick Close,N11 3ES,R,Wednesday
Cattley Close,EN5 4SN,R,Tuesday
Cavendish Avenue,N3 3QP,R,Thursday
Cavendish Road,EN5 4DZ,R,Tuesday
Cecil Court,EN5 4NX,R,Tuesday
